"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty","total","win_gosp","gosp_gosp","gosp_past_points","win_gosc","gosc_gosp","gosc_past_points","gosp_past_add","gosc_past_add","gosp_past_total","gosc_past_total","gosp_past_add.1","mth","daty_r"
"1391","SacramentoKings","DetroitPistons",101,92,0,2015-11-11,193,0,1,88,0,0,95,0,0,194,204,0,"Nov",118
"1392","PortlandTrailBlazers","SanAntonioSpurs",101,113,0,2015-11-11,214,0,0,104,1,0,106,0,0,212,194,0,"Nov",118
"1393","MiamiHeat","UtahJazz",92,91,0,2015-11-12,183,1,1,101,0,0,114,0,0,189,232,0,"Nov",125
"1394","MinnesotaTimberwolves","GoldenStateWarriors",116,129,0,2015-11-12,245,0,1,95,1,0,100,0,0,199,184,0,"Nov",125
"1395","PhoenixSuns","LosAngelesClippers",118,104,0,2015-11-12,222,0,0,103,0,0,108,0,0,227,226,0,"Nov",125
"1396","IndianaPacers","MinnesotaTimberwolves",107,103,0,2015-11-13,210,1,0,102,0,1,116,0,0,193,245,0,"Nov",132
"1397","OrlandoMagic","UtahJazz",102,93,0,2015-11-13,195,1,1,101,0,0,91,0,0,200,183,0,"Nov",132
"1398","BostonCeltics","AtlantaHawks",106,93,0,2015-11-13,199,0,1,91,1,1,106,0,0,193,204,0,"Nov",132
"1399","NewYorkKnicks","ClevelandCavaliers",84,90,0,2015-11-13,174,0,0,93,1,1,118,0,0,188,232,0,"Nov",132
"1400","TorontoRaptors","NewOrleansPelicans",100,81,0,2015-11-13,181,1,0,119,0,0,98,0,0,222,204,0,"Nov",132
"1401","ChicagoBulls","CharlotteHornets",102,97,0,2015-11-13,199,1,0,111,1,1,95,0,0,199,188,0,"Nov",132
"1402","MemphisGrizzlies","PortlandTrailBlazers",101,100,0,2015-11-13,201,0,1,84,0,1,101,0,0,184,214,0,"Nov",132
"1403","OklahomaCityThunder","PhiladelphiaErs",102,85,0,2015-11-13,187,1,0,125,0,1,103,0,0,226,222,0,"Nov",132
"1404","DallasMavericks","LosAngelesLakers",90,82,0,2015-11-13,172,1,1,118,0,0,99,0,0,226,200,0,"Nov",132
"1405","DenverNuggets","HoustonRockets",107,98,0,2015-11-13,205,1,1,103,0,1,98,0,0,205,204,0,"Nov",132
"1406","SacramentoKings","BrooklynNets",111,109,0,2015-11-13,220,1,1,101,1,0,106,0,0,193,204,0,"Nov",132
"1407","LosAngelesClippers","DetroitPistons",101,96,0,2015-11-14,197,0,0,104,0,0,92,0,0,222,193,0,"Nov",141
"1408","WashingtonWizards","OrlandoMagic",108,99,0,2015-11-14,207,0,1,101,1,1,102,0,0,226,195,0,"Nov",141
"1409","HoustonRockets","DallasMavericks",98,110,0,2015-11-14,208,0,0,98,1,1,90,0,0,205,172,0,"Nov",141
"1410","MilwaukeeBucks","ClevelandCavaliers",108,105,2,2015-11-14,213,0,0,102,1,0,90,0,0,205,174,0,"Nov",141
"1411","SanAntonioSpurs","PhiladelphiaErs",92,83,0,2015-11-14,175,1,0,113,0,0,85,0,0,214,187,0,"Nov",141
"1412","PhoenixSuns","DenverNuggets",105,81,0,2015-11-14,186,1,1,118,1,1,107,0,0,222,205,0,"Nov",141
"1413","GoldenStateWarriors","BrooklynNets",107,99,1,2015-11-14,206,1,0,129,0,0,109,0,0,245,220,0,"Nov",141
"1414","NewYorkKnicks","NewOrleansPelicans",95,87,0,2015-11-15,182,0,1,84,0,0,81,0,0,174,181,0,"Nov",148
"1415","MinnesotaTimberwolves","MemphisGrizzlies",106,114,0,2015-11-15,220,0,0,103,1,1,101,0,0,210,201,0,"Nov",148
"1416","CharlotteHornets","PortlandTrailBlazers",106,94,0,2015-11-15,200,0,0,97,0,0,100,0,0,199,201,0,"Nov",148
"1417","AtlantaHawks","UtahJazz",96,97,0,2015-11-15,193,0,0,93,0,0,93,0,0,199,195,0,"Nov",148
"1418","OklahomaCityThunder","BostonCeltics",85,100,0,2015-11-15,185,1,1,102,1,1,106,0,0,187,199,0,"Nov",148
"1419","SacramentoKings","TorontoRaptors",107,101,0,2015-11-15,208,1,1,111,1,1,100,0,0,220,181,0,"Nov",148
"1420","LosAngelesLakers","DetroitPistons",97,85,0,2015-11-15,182,0,0,82,0,0,96,0,0,172,197,0,"Nov",148
"1421","PhiladelphiaErs","DallasMavericks",86,92,0,2015-11-16,178,0,0,83,1,0,110,0,0,175,208,0,"Nov",154.5
"1422","ChicagoBulls","IndianaPacers",96,95,0,2015-11-16,191,1,1,102,1,1,107,0,0,199,210,0,"Nov",154.5
"1423","HoustonRockets","BostonCeltics",95,111,0,2015-11-16,206,0,1,98,1,0,100,0,0,208,185,0,"Nov",154.5
"1424","MemphisGrizzlies","OklahomaCityThunder",122,114,0,2015-11-16,236,1,0,114,0,1,85,0,0,220,185,0,"Nov",154.5
"1425","SanAntonioSpurs","PortlandTrailBlazers",93,80,0,2015-11-16,173,1,1,92,0,0,94,0,0,175,200,0,"Nov",154.5
"1426","PhoenixSuns","LosAngelesLakers",120,101,0,2015-11-16,221,1,1,105,1,1,97,0,0,186,182,0,"Nov",154.5
"1427","WashingtonWizards","MilwaukeeBucks",115,86,0,2015-11-17,201,1,1,108,1,1,108,0,2,207,213,0,"Nov",161
"1428","BrooklynNets","AtlantaHawks",90,88,0,2015-11-17,178,0,0,99,0,1,96,1,0,206,193,1,"Nov",161
"1429","DetroitPistons","ClevelandCavaliers",104,99,0,2015-11-17,203,0,0,85,0,0,105,0,2,182,213,0,"Nov",161
