,gospodarz,gosc,daty,daty_fac,predykcja
249,IndianaPacers,IndianaPacers,747,380,200.522753552059
250,DenverNuggets,IndianaPacers,747,380,260.54934878029
251,NewYorkKnicks,IndianaPacers,747,380,200.48761162489
252,SanAntonioSpurs,IndianaPacers,747,380,205.3965765157
253,DallasMavericks,IndianaPacers,747,380,222.396576515701
254,LosAngelesClippers,IndianaPacers,747,380,211.167712708384
255,MinnesotaTimberwolves,IndianaPacers,747,380,217.830513508887
256,MemphisGrizzlies,IndianaPacers,747,380,200.207429902401
257,AtlantaHawks,IndianaPacers,747,380,197.308819134431
258,BrooklynNets,IndianaPacers,747,380,217.932950864412
259,GoldenStateWarriors,IndianaPacers,747,380,247.289419481785
260,LosAngelesLakers,IndianaPacers,747,380,213.847618439723
261,PortlandTrailBlazers,IndianaPacers,747,380,244.689537317611
262,MiamiHeat,IndianaPacers,747,380,207.39291985788
263,OklahomaCityThunder,IndianaPacers,747,380,216.550529220331
264,TorontoRaptors,IndianaPacers,747,380,208.430198090427
265,PhoenixSuns,IndianaPacers,747,380,204.296694351527
266,SacramentoKings,IndianaPacers,747,380,212.462050343381
267,HoustonRockets,IndianaPacers,747,380,224.265628860338
268,MilwaukeeBucks,IndianaPacers,747,380,208.616494030621
269,OrlandoMagic,IndianaPacers,747,380,209.826482247039
270,BostonCeltics,IndianaPacers,747,380,207.601124598938
271,DetroitPistons,DenverNuggets,747,380,199.369443048951
272,ClevelandCavaliers,DenverNuggets,747,380,230.865511024514
273,NewOrleansPelicans,DenverNuggets,747,380,227.737512387479
274,WashingtonWizards,DenverNuggets,747,380,210.723945654103
275,PhiladelphiaErs,DenverNuggets,747,380,216.138613229415
276,ChicagoBulls,DenverNuggets,747,380,217.542073910545
277,UtahJazz,DenverNuggets,747,380,195.411952355037
278,CharlotteHornets,DenverNuggets,747,380,215.10787644782
279,IndianaPacers,DenverNuggets,747,380,234.438259721935
280,DenverNuggets,DenverNuggets,747,380,253.769215354604
281,NewYorkKnicks,DenverNuggets,747,380,230.186785733216
282,SanAntonioSpurs,DenverNuggets,747,380,215.738495393588
283,DallasMavericks,DenverNuggets,747,380,210.624751906474
284,LosAngelesClippers,DenverNuggets,747,380,204.80200320905
285,MinnesotaTimberwolves,DenverNuggets,747,380,203.427642006888
286,MemphisGrizzlies,DenverNuggets,747,380,209.262941352441
287,AtlantaHawks,DenverNuggets,747,380,218.355222019059
288,BrooklynNets,DenverNuggets,747,380,228.502030088716
289,GoldenStateWarriors,DenverNuggets,747,380,237.728533015948
290,LosAngelesLakers,DenverNuggets,747,380,240.487512387479
291,PortlandTrailBlazers,DenverNuggets,747,380,224.493804251112
292,MiamiHeat,DenverNuggets,747,380,242.052691625593
293,OklahomaCityThunder,DenverNuggets,747,380,228.846635433613
294,TorontoRaptors,DenverNuggets,747,380,216.907783409881
295,PhoenixSuns,DenverNuggets,747,380,221.232203529956
296,SacramentoKings,DenverNuggets,747,380,218.528901004148
297,HoustonRockets,DenverNuggets,747,380,223.50596211315
298,MilwaukeeBucks,DenverNuggets,747,380,194.049348780288
299,OrlandoMagic,DenverNuggets,747,380,236.867477036731
300,BostonCeltics,DenverNuggets,747,380,229.464016355602
301,DetroitPistons,NewYorkKnicks,747,380,209.821206468654
302,ClevelandCavaliers,NewYorkKnicks,747,380,204.87597120877
303,NewOrleansPelicans,NewYorkKnicks,747,380,199.627406335235
304,WashingtonWizards,NewYorkKnicks,747,380,223.242132828459
305,PhiladelphiaErs,NewYorkKnicks,747,380,210.931967858303
306,ChicagoBulls,NewYorkKnicks,747,380,218.68357312268
307,UtahJazz,NewYorkKnicks,747,380,206.831102688019
308,CharlotteHornets,NewYorkKnicks,747,380,201.115215394058
309,IndianaPacers,NewYorkKnicks,747,380,218.826482247038
310,DenverNuggets,NewYorkKnicks,747,380,229.367477036733
311,NewYorkKnicks,NewYorkKnicks,747,380,257.012594781376
312,SanAntonioSpurs,NewYorkKnicks,747,380,208.091031986523
313,DallasMavericks,NewYorkKnicks,747,380,195.423709982451
314,LosAngelesClippers,NewYorkKnicks,747,380,213.16908954147
315,MinnesotaTimberwolves,NewYorkKnicks,747,380,211.114822607969
316,MemphisGrizzlies,NewYorkKnicks,747,380,199.938259721936
317,AtlantaHawks,NewYorkKnicks,747,380,233.165746696165
318,BrooklynNets,NewYorkKnicks,747,380,216.156505814204
319,GoldenStateWarriors,NewYorkKnicks,747,380,206.323827818277
320,LosAngelesLakers,NewYorkKnicks,747,380,210.374751906473
321,PortlandTrailBlazers,NewYorkKnicks,747,380,220.30200320905
322,MiamiHeat,NewYorkKnicks,747,380,199.640284652067
323,OklahomaCityThunder,NewYorkKnicks,747,380,202.599028351946
324,TorontoRaptors,NewYorkKnicks,747,380,221.967653790471
325,PhoenixSuns,NewYorkKnicks,747,380,231.389301645958
326,SacramentoKings,NewYorkKnicks,747,380,207.073139401734
327,HoustonRockets,NewYorkKnicks,747,380,237.551314792507
328,MilwaukeeBucks,NewYorkKnicks,747,380,217.322156395626
329,OrlandoMagic,NewYorkKnicks,747,380,207.220407456644
330,BostonCeltics,NewYorkKnicks,747,380,210.582066471183
331,DetroitPistons,SanAntonioSpurs,747,380,208.374751906475
332,ClevelandCavaliers,SanAntonioSpurs,747,380,233.389301645959
333,NewOrleansPelicans,SanAntonioSpurs,747,380,205.606564732117
334,WashingtonWizards,SanAntonioSpurs,747,380,214.429608019106
335,PhiladelphiaErs,SanAntonioSpurs,747,380,207.651196956681
336,ChicagoBulls,SanAntonioSpurs,747,380,182.208806735486
337,UtahJazz,SanAntonioSpurs,747,380,189.543745333198
338,CharlotteHornets,SanAntonioSpurs,747,380,212.947500603897
339,IndianaPacers,SanAntonioSpurs,747,380,203.369771758541
340,DenverNuggets,SanAntonioSpurs,747,380,206.80836019007
341,NewYorkKnicks,SanAntonioSpurs,747,380,188.376717918693
342,SanAntonioSpurs,SanAntonioSpurs,747,380,226.645213859387
343,DallasMavericks,SanAntonioSpurs,747,380,197.761008419359
344,LosAngelesClippers,SanAntonioSpurs,747,380,205.912044143909
345,MinnesotaTimberwolves,SanAntonioSpurs,747,380,203.592014992633
346,MemphisGrizzlies,SanAntonioSpurs,747,380,199.877657860175
347,AtlantaHawks,SanAntonioSpurs,747,380,210.891267658174
348,BrooklynNets,SanAntonioSpurs,747,380,198.512974431577
349,GoldenStateWarriors,SanAntonioSpurs,747,380,225.209592307664
350,LosAngelesLakers,SanAntonioSpurs,747,380,225.697500603896
