"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty","total","win_gosp","gosp_gosp","gosp_past_points","win_gosc","gosc_gosp","gosc_past_points","gosp_past_add","gosc_past_add","gosp_past_total","gosp_past_add.1"
"202","HoustonRockets","NewYorkKnicks",91,86,0,2014-11-24,177,1,1,95,1,1,91,0,0,187,0
"203","DallasMavericks","IndianaPacers",100,111,0,2014-11-24,211,0,0,92,0,1,83,0,0,187,0
"204","UtahJazz","ChicagoBulls",95,97,0,2014-11-24,192,0,1,94,0,0,87,0,0,200,0
"205","WashingtonWizards","AtlantaHawks",102,106,0,2014-11-25,208,1,0,111,1,1,99,0,0,211,0
"206","MiamiHeat","GoldenStateWarriors",97,114,0,2014-11-25,211,1,1,94,1,0,91,0,0,187,0
"207","MilwaukeeBucks","DetroitPistons",98,86,0,2014-11-25,184,0,1,100,0,0,89,0,0,211,0
"208","NewOrleansPelicans","SacramentoKings",89,99,0,2014-11-25,188,1,0,106,1,0,113,0,0,200,0
"209","DenverNuggets","ChicagoBulls",114,109,0,2014-11-25,223,1,0,101,1,0,97,1,0,195,1
"210","CharlotteHornets","PortlandTrailBlazers",97,105,0,2014-11-26,202,0,1,92,1,0,114,0,0,205,0
"211","ClevelandCavaliers","WashingtonWizards",113,87,0,2014-11-26,200,1,1,106,0,1,102,0,0,180,0
"212","OrlandoMagic","GoldenStateWarriors",96,111,0,2014-11-26,207,0,0,74,1,0,114,0,0,180,0
"213","PhiladelphiaErs","BrooklynNets",91,99,0,2014-11-26,190,0,1,104,0,0,87,0,0,218,0
"214","DallasMavericks","NewYorkKnicks",109,102,1,2014-11-26,211,0,1,100,0,0,86,0,0,211,0
"215","AtlantaHawks","TorontoRaptors",115,126,0,2014-11-26,241,1,0,106,1,1,104,0,0,208,0
"216","DetroitPistons","LosAngelesClippers",98,104,0,2014-11-26,202,0,0,86,1,0,113,0,0,184,0
"217","HoustonRockets","SacramentoKings",102,89,0,2014-11-26,191,1,1,91,1,0,99,0,0,177,0
"218","MinnesotaTimberwolves","MilwaukeeBucks",86,103,0,2014-11-26,189,0,1,101,1,1,98,0,0,214,0
"219","OklahomaCityThunder","UtahJazz",97,82,0,2014-11-26,179,0,1,86,0,1,95,0,0,177,0
"220","SanAntonioSpurs","IndianaPacers",106,100,0,2014-11-26,206,1,1,99,1,0,111,0,0,186,0
"221","PhoenixSuns","DenverNuggets",120,112,0,2014-11-26,232,0,0,100,1,1,114,0,0,204,0
"222","LosAngelesLakers","MemphisGrizzlies",93,99,0,2014-11-26,192,0,1,94,1,1,107,1,0,195,1
"223","BostonCeltics","ChicagoBulls",102,109,0,2014-11-28,211,0,1,88,0,0,109,0,0,182,0
"224","CharlotteHornets","GoldenStateWarriors",101,106,0,2014-11-28,207,0,1,97,1,0,111,0,0,202,0
"225","AtlantaHawks","NewOrleansPelicans",100,91,0,2014-11-28,191,0,1,115,0,1,89,0,0,241,0
"226","DetroitPistons","MilwaukeeBucks",88,104,0,2014-11-28,192,0,1,98,1,0,103,0,0,202,0
"227","TorontoRaptors","DallasMavericks",102,106,0,2014-11-28,208,1,0,126,1,1,109,0,1,241,0
"228","HoustonRockets","LosAngelesClippers",85,102,0,2014-11-28,187,1,1,102,1,0,104,0,0,191,0
"229","OklahomaCityThunder","NewYorkKnicks",105,78,0,2014-11-28,183,1,1,97,0,0,102,0,1,179,0
"230","IndianaPacers","OrlandoMagic",98,83,0,2014-11-28,181,0,0,100,0,1,96,0,0,206,0
"231","SanAntonioSpurs","SacramentoKings",112,104,0,2014-11-28,216,1,1,106,0,0,89,0,0,206,0
"232","DenverNuggets","PhoenixSuns",122,97,0,2014-11-28,219,0,0,112,1,1,120,0,0,232,0
"233","PortlandTrailBlazers","MemphisGrizzlies",99,112,0,2014-11-28,211,1,0,105,1,0,99,0,0,202,0
"234","LosAngelesLakers","MinnesotaTimberwolves",119,120,0,2014-11-28,239,0,1,93,0,1,86,0,0,192,0
"235","PhiladelphiaErs","DallasMavericks",103,110,0,2014-11-29,213,0,1,91,1,0,106,0,0,190,0
"236","WashingtonWizards","NewOrleansPelicans",83,80,0,2014-11-29,163,0,0,87,0,0,91,0,0,200,0
"237","AtlantaHawks","CharlotteHornets",105,75,0,2014-11-29,180,1,1,100,0,1,101,0,0,191,0
"238","ClevelandCavaliers","IndianaPacers",109,97,0,2014-11-29,206,1,1,113,1,1,98,0,0,200,0
"239","UtahJazz","LosAngelesClippers",96,112,0,2014-11-29,208,0,0,82,1,0,102,0,0,179,0
"240","MilwaukeeBucks","HoustonRockets",103,117,0,2014-11-29,220,1,0,104,0,1,85,0,0,192,0
"241","BostonCeltics","SanAntonioSpurs",89,111,0,2014-11-30,200,0,1,102,1,1,112,0,0,211,0
"242","BrooklynNets","ChicagoBulls",84,102,0,2014-11-30,186,1,0,99,1,0,109,0,0,190,0
"243","DetroitPistons","GoldenStateWarriors",93,104,0,2014-11-30,197,0,1,88,1,0,106,0,0,192,0
"244","SacramentoKings","MemphisGrizzlies",85,97,0,2014-11-30,182,0,0,104,1,0,112,0,0,216,0
"245","NewYorkKnicks","MiamiHeat",79,86,0,2014-11-30,165,0,0,78,0,1,97,0,0,183,0
"246","PhoenixSuns","OrlandoMagic",90,93,0,2014-11-30,183,0,0,97,0,0,83,0,0,219,0
"247","PortlandTrailBlazers","MinnesotaTimberwolves",107,93,0,2014-11-30,200,0,1,99,1,0,120,0,0,211,0
"248","LosAngelesLakers","TorontoRaptors",129,122,1,2014-11-30,251,0,1,119,0,1,102,0,0,239,0
"249","PhiladelphiaErs","SanAntonioSpurs",103,109,0,2014-12-01,212,0,1,103,1,0,111,0,0,213,0
"250","WashingtonWizards","MiamiHeat",107,86,0,2014-12-01,193,1,1,83,1,0,86,0,0,163,0
"251","UtahJazz","DenverNuggets",101,103,0,2014-12-01,204,0,1,96,1,1,122,0,0,208,0
"252","LosAngelesClippers","MinnesotaTimberwolves",127,101,0,2014-12-01,228,1,0,112,0,0,93,0,0,208,0
"253","ClevelandCavaliers","MilwaukeeBucks",111,108,0,2014-12-02,219,1,1,109,0,1,103,0,0,206,0
