"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty"
"362","MemphisGrizzlies","WashingtonWizards",112,95,0,2015-12-14
"363","DallasMavericks","PhoenixSuns",104,94,0,2015-12-14
"364","SanAntonioSpurs","UtahJazz",118,81,0,2015-12-14
"365","DenverNuggets","HoustonRockets",114,108,0,2015-12-14
"366","PortlandTrailBlazers","NewOrleansPelicans",105,101,0,2015-12-14
"367","BostonCeltics","ClevelandCavaliers",77,89,0,2015-12-15
"368","MinnesotaTimberwolves","DenverNuggets",100,112,0,2015-12-15
"369","SacramentoKings","HoustonRockets",107,97,0,2015-12-15
"370","LosAngelesLakers","MilwaukeeBucks",113,95,0,2015-12-15
"371","IndianaPacers","DallasMavericks",107,81,0,2015-12-16
"372","OrlandoMagic","CharlotteHornets",113,98,0,2015-12-16
"373","BrooklynNets","MiamiHeat",98,104,0,2015-12-16
"374","DetroitPistons","BostonCeltics",119,116,0,2015-12-16
"375","NewYorkKnicks","MinnesotaTimberwolves",107,102,0,2015-12-16
"376","AtlantaHawks","PhiladelphiaErs",127,106,0,2015-12-16
"377","ChicagoBulls","MemphisGrizzlies",98,85,0,2015-12-16
"378","OklahomaCityThunder","PortlandTrailBlazers",106,90,0,2015-12-16
"379","SanAntonioSpurs","WashingtonWizards",114,95,0,2015-12-16
"380","UtahJazz","NewOrleansPelicans",94,104,0,2015-12-16
"381","GoldenStateWarriors","PhoenixSuns",128,103,0,2015-12-16
"382","LosAngelesClippers","MilwaukeeBucks",103,90,0,2015-12-16
"383","CharlotteHornets","TorontoRaptors",109,99,1,2015-12-17
"384","ClevelandCavaliers","OklahomaCityThunder",104,100,0,2015-12-17
"385","LosAngelesLakers","HoustonRockets",87,107,0,2015-12-17
"386","IndianaPacers","BrooklynNets",104,97,0,2015-12-18
"387","OrlandoMagic","PortlandTrailBlazers",102,94,0,2015-12-18
"388","PhiladelphiaErs","NewYorkKnicks",97,107,0,2015-12-18
"389","BostonCeltics","AtlantaHawks",101,109,0,2015-12-18
"390","MiamiHeat","TorontoRaptors",94,108,0,2015-12-18
"391","ChicagoBulls","DetroitPistons",144,147,2,2015-12-18
"392","MinnesotaTimberwolves","SacramentoKings",99,95,0,2015-12-18
"393","SanAntonioSpurs","LosAngelesClippers",115,107,0,2015-12-18
